,block_reduce,Names,Redshift,neg,t
0,10,Arp240,0.0225,rereduce,rereduce
1,18,Arp290,0.01171,y,n
2,8,Arp142,0.02329,y,n
3,8,Arp318,0.0132,xy,y
4,8,Arp256,0.0273,n,n
5,8,UGC11751,0.02909,y,n
6,32,Arp104,0.01082,y,n
7,2,Heart,0.04,rereduce,rereduce
8,22,Arp285,0.00967,rereduce,rereduce
9,90,Arp214,0.00331,y,n
10,2,NGC4320,0.02668,xy,n
11,6,Arp255,0.04106,xy,n
12,14,Arp82,0.01368,x,y
13,2,Arp239,0.02489,rereduce,rereduce
14,4,Arp199,0.01024,xy,y
15,10,Arp57,0.048,y,n
16,4,Pair18,0.089,,
17,6,Arp247,0.01108,xy,n
18,2,Arp241,0.03472,n,n
19,16,Arp313,0.01045,y,n
20,10,Arp107,0.03318,xy,n
21,12,Arp294,0.00892,y,n
22,4,Arp172,0.029,rereduce,rereduce
23,6,Arp302,0.03286,x,y
24,6,Arp242,0.02205,xy,y
25,12,Arp72,0.011,y,n
26,18,Arp101,0.026,y,n
27,8,Arp58,0.03722,xy,y
28,8,Arp105,0.021,x,y
29,10,Arp97,0.02305,y,n
30,6,Arp106,0.02199,xy,y
31,6,NGC2802,0.02914,rereduce,rereduce
32,6,Arp301,0.02059,rereduce,rereduce
33,18,Arp89,0.00687,n,n
34,8,Arp87,0.02373,y,n
35,4,Arp191,0.02739,xy,y
36,2,Arp237,0.02899,y,y
37,6,Arp181,0.026,rereduce,rereduce
38,4,Arp238,0.03106,rereduce,rereduce
39,2,MCG+09-20-082,0.113,rereduce,rereduce
40,6,Arp297,0.028,rereduce,rereduce
41,14,NGC5753,0.01374,n,n
42,8,Arp173,0.028,xy,y
43,14,Arp84,0.01158,rereduce,rereduce
44,2,UGC10650,0.058,rereduce,rereduce
45,6,Arp112,0.024,rereduce,rereduce
46,6,Arp274,0.0289,xy,y
47,2,Arp146,0.07544,xy,y
48,8,Arp143,0.01339,rereduce,rereduce
49,6,Arp70,0.035,xy,y
50,6,Arp218,0.075,xy,n
51,4,ViolinClef,0.1,rereduce,rereduce
52,35,Arp305,0.004,rereduce,rereduce
53,3,Arp148,0.03452,rereduce,rereduce
54,8,CGCG436-030,0.03123,rereduce,rereduce
55,3,Arp272,0.03685,rereduce,rereduce
56,4,NGC5331,0.03304,rereduce,rereduce
57,45,ESO77-14,0.04156,rereduce,rereduce
